,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,pc_12,pc_13,pc_14,pc_15,pc_16,pc_17,pc_18,pc_19,pc_20,pc_21,pc_22,pc_23,pc_24,pc_25
12504,-8.8625345,8.768567,1.3826686,2.1253505,-1.579314,-2.5366044,-4.6855564,1.955851,-5.089197,4.6717467,1.5404005,0.58249485,-0.5189197,2.8556354,-0.4358646,3.7039492,2.8629363,-0.34282917,4.3935227,2.508802,-5.465595,-0.5770247,-4.8254113,2.634145,-0.24988599
12219,-6.9829364,-5.881984,3.585194,-4.536415,5.3601365,5.4203696,-4.5156536,2.3657708,4.869778,-3.788878,3.0053976,-0.42877066,-2.5647488,-1.1098986,0.16073136,-4.293117,0.6377835,-4.268421,-0.91966575,-0.86813587,-3.2796416,-2.6559584,1.1357502,-3.094336,-0.575852
12194,-12.032177,18.605648,1.0239482,-1.3202554,1.6804403,-0.6625767,-4.241923,-3.27711,1.3204737,3.1802511,-6.3123302,-1.6347139,-2.3658612,-0.19468904,-2.1190922,-1.3486055,0.58246714,0.8589365,-2.0464334,-0.557126,4.432277,0.5362987,0.90326643,-2.401825,-1.0259503
12054,-4.999926,-2.5253825,-6.9658136,1.6378882,-2.7787557,-0.5734987,4.7770214,-2.0948632,-1.3964947,-1.9775363,4.5220966,-1.3191636,4.0095687,-3.4160411,-2.9160273,-2.2925212,4.5896087,1.8317366,-0.9586418,1.651212,-2.6937437,-0.5129021,0.85001105,1.4783825,1.0128158
12441,-4.709085,0.24747255,0.62570566,1.6554407,-0.43103892,-0.8382764,11.146228,6.6189833,-2.6342618,6.4638605,-1.01088,5.9692755,0.283258,1.2646371,9.981787,5.0170283,4.809973,1.252568,-3.4615402,-5.550158,4.7611647,-2.3404815,2.6784596,-1.3994467,-1.5574871
12863,-8.669192,-1.0491825,-8.804046,-4.236059,-3.5122378,-1.3314286,1.6510808,-7.1627264,-6.5076704,0.9223044,4.6594133,-3.309621,-4.372226,-5.256282,-0.29351705,0.26442176,0.48898783,0.5702883,0.90859634,-5.5283365,-4.734271,-0.051884305,-2.6762393,5.2285967,2.8193357
12676,1.3944663,-1.9301735,2.9821224,9.345244,4.099505,0.07123427,0.40427953,-1.0455395,4.1731725,7.257095,4.336715,3.0116193,-2.7791488,-2.3131907,-2.280909,1.0913382,-0.29406205,2.7545187,2.0450566,0.9609457,-0.076528914,5.346579,-1.9648786,1.4104056,-1.0862583
12641,12.798196,3.3115954,-3.9512017,-0.9804111,4.1425333,-1.1187731,-0.055188775,1.309993,1.4859643,3.7414207,2.9827192,1.4943887,-0.46790826,-3.3162491,-0.7154155,-0.102346994,-1.8193688,2.6620142,1.4597044,2.3423634,0.704569,1.1508235,-2.9226677,1.6701727,-3.1225095
12528,-9.585278,20.02916,1.6278714,1.8124774,2.2756152,-0.34089807,-0.33002707,-0.83259434,2.0326176,-1.090071,-3.1594539,-1.4420947,2.564714,-4.084762,-1.418624,-3.3029885,4.0713387,2.6449564,-5.9879074,2.4532871,4.251517,1.8001686,0.7344283,-4.302604,0.16307124
12061,-3.1330056,-4.866897,-7.04737,1.8353467,4.7552743,-2.0732281,0.44331378,0.38275737,-0.3299532,-2.0302143,4.4347453,-2.2695472,7.013248,-5.4727745,-2.118819,-1.7736658,0.6516532,-2.2875938,0.7022361,-2.197823,0.9668083,-0.7483375,-2.6174068,1.4808146,4.308998
12343,-4.7676277,0.78401965,-6.628445,0.05467003,-4.4526854,-1.2790247,1.7595967,2.350607,4.392139,-2.1101155,6.618405,-5.8832994,3.9737568,3.4037073,3.803802,1.2311321,-1.5727309,4.363152,4.3064666,1.0342761,4.243189,-0.9982324,3.7550998,-1.0545142,1.5426586
12467,-6.0121503,-1.7148408,-5.2733655,-0.012429045,2.1245525,-3.573379,3.0045042,2.9595113,3.57997,-2.22941,6.7164826,-0.6504533,2.7314231,-3.631261,0.8313453,-3.0379674,5.286502,-1.0950537,-1.9534833,6.0034137,5.3371296,-6.5376515,-0.26782265,-0.6677068,0.15083791
12516,-8.769695,-1.0046072,-10.444975,-2.144104,-6.1768165,-4.3122673,-2.7110589,-6.442953,-1.3989038,2.982504,0.08954132,1.7723589,-0.073584765,-1.5080161,-1.5994651,-1.3087344,2.2689893,-3.5446892,0.40021974,2.5111947,5.5106397,-2.4630315,-2.05489,-0.491531,1.272894
