,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10
13613,-6.259624,-5.3442388,0.48469004,-1.8367845,3.2610986,4.2781143,-5.1077175,6.2718325,-3.568285,-0.20820528
13432,-4.4334555,-4.421263,1.9411131,-4.468833,0.39787704,3.6412966,-5.9641476,7.4830384,-1.5532031,2.4292068
13565,-5.531944,2.1365614,0.49948403,-0.19302191,1.6766636,8.442117,0.33904666,6.2521596,1.3869534,-0.5450082
13668,13.081437,2.1549664,-7.543146,-1.1301069,0.92974705,-2.3382893,1.4152229,0.6278725,4.4075212,4.940384
13498,-11.759851,18.79489,1.396111,1.1037427,0.928593,-0.9379585,-6.524056,-4.3334002,5.1844935,-2.4059246
13635,-3.0509229,-4.3039,-5.956983,-1.5493132,0.9103912,-0.549897,-4.8185496,-3.7691636,-0.75450695,-0.10739775
13758,-3.0882652,-2.2409902,2.0577104,-1.1346822,6.569774,0.82614577,5.421968,-4.973565,5.218178,3.681017
13743,-8.230529,-0.79866976,4.732132,-7.5076857,-6.632979,-8.183674,-2.8379796,3.048406,-3.4660835,3.415566
13679,-4.3122168,-4.188621,-2.103984,-3.460306,-1.2361273,2.3454442,-2.7825866,5.3505974,3.3363507,4.2702026
13661,-11.35271,18.72194,1.3506411,-0.9464654,2.4627943,-0.00026841453,-0.5259708,-3.3797226,5.661187,-3.0312867
13789,-8.734598,1.4542317,2.504917,-2.9072697,0.2187131,0.6789978,-6.6099596,-1.4202332,1.1010779,3.2812557
13415,12.805616,3.4726214,-6.9399543,-0.99031067,-5.263661,6.4750924,0.37393433,3.59596,1.1955618,2.2486012
13602,11.106265,9.614664,-0.020821337,-1.9134922,-3.9317336,10.26949,-0.39206606,4.2483883,-1.1037838,4.541435
13734,-3.7700877,-2.5619764,5.157407,-4.655541,-8.945677,-5.8031154,-2.629307,-1.6570051,0.3078141,-7.152103
15702,-8.041471,7.0119534,3.8202856,-1.114357,0.1475674,1.7539817,2.1823,-1.4898133,0.6225685,-2.9641187
15199,13.909781,0.3436326,-8.113768,0.061117847,-0.47222832,3.127739,-0.66825265,0.33104792,-2.0227985,-2.0131981
16193,-4.456002,10.299086,1.4954702,2.5450792,0.8203826,-2.3468924,3.282589,6.7684965,-3.2028444,-1.5668752
16135,-8.893157,4.4139175,13.26511,-7.9389596,-4.010713,-8.70961,4.0455647,5.6082797,-0.73997706,-0.60319316
15348,-1.4126333,-0.80056226,3.4238617,0.73261243,3.9425402,8.637742,6.394598,-0.47446162,-1.8369707,1.5718099
15945,15.068378,0.06842815,-0.6379771,-2.6456964,-7.6116204,3.900334,0.08813661,3.6743646,1.2310947,-1.4703183
14446,2.3890388,-5.411328,2.0891802,16.03999,-3.3279607,-6.6395693,-1.5506166,1.0706688,7.6325026,5.365535
13982,-4.0634546,-3.7991838,1.0467997,-5.4845324,0.124535,-1.0477805,-0.7945063,-1.2289873,3.3264756,7.8099093
15607,-11.211804,19.483067,1.7552887,0.7627008,3.618692,-0.7700354,1.7369795,0.18166013,3.334398,-1.3770013
15768,15.877026,-1.3363677,4.9438114,-3.7766001,-0.5851819,-3.9841104,-0.051936578,1.8036224,1.5394406,-0.9641284
15671,-9.149417,19.944763,1.2907357,1.8397894,2.2712808,-1.6338714,-3.8866138,-0.75114495,1.9756018,1.5896376
15240,-7.159157,2.0344489,-6.2338185,1.0611879,-2.5025878,-3.8904457,-4.784065,2.4531844,-3.263973,8.155151
13810,-4.8107224,2.6681094,12.390861,-4.295335,-6.705994,-6.3822436,1.9281604,0.6633512,-5.927918,-2.0871415
13932,-9.985307,4.2647886,-9.712977,-0.010725407,-5.668241,-7.118116,-5.3391495,3.065698,0.842143,-5.1553426
15276,-4.7252045,-3.3922412,-7.5649357,0.34522247,-0.5585716,-2.510492,-2.3635762,-0.45430648,-3.3945591,-5.353359
13853,-10.135428,19.18521,2.4512663,3.0195208,3.348309,-0.32985437,3.5362518,-1.8955501,2.7315078,-1.8549737
15825,-6.1298003,1.0298214,1.4142116,-3.8723173,-4.9517403,13.566841,-6.452293,8.175963,3.2840712,2.3799255
15600,-8.241628,20.082006,2.0656486,4.0898213,2.5405676,-0.6541388,1.2481177,-2.7450907,2.055542,-1.5362628
16004,-4.753861,-1.2610767,-0.039180562,-4.551024,-4.025432,-7.6451373,2.9961205,1.1361535,3.6572955,-0.048551593
16065,-10.781846,18.7423,2.3994584,3.7826197,4.715294,1.0359714,11.278365,-1.9972845,-3.919127,3.7224936
10113,-0.07085184,-2.505223,8.767624,-0.4854042,5.9992003,0.92270267,0.6768056,7.106491,2.9355571,-8.215256
10124,15.341476,1.058439,3.0863004,-2.021271,-0.72234094,-2.893372,-0.15778475,0.6394384,0.4957486,-1.678464
10137,14.977894,-0.82519037,-0.7076117,-2.573368,-0.8806143,-5.4319787,0.059770063,2.7853057,1.3419462,-0.2928754
10168,-0.0869676,-1.7286263,3.3030486,1.7578465,0.19765845,2.699857,2.1767821,0.20348257,3.7199335,-5.4175515
10150,15.463435,2.5907984,7.592367,-2.849792,-0.98502344,-0.3116417,-0.8531022,-1.2813985,-1.6324872,-2.679214
10186,2.514615,-0.97571903,2.0424469,-1.3076943,1.070152,-4.3070917,3.8529897,2.523313,2.937001,-2.3906977
